0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:35 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:35 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:35 +0800] "POST /reservation/OrderAvailable HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:35 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:36 +0800] "GET /reservation/reservation.jsp?rnvid=1&year=2018&month=12&day=30 HTTP/1.1" 200 6745
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:36 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:36 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:36 +0800] "POST /reservation/OrderAvailable HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:36 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:37 +0800] "GET /reservation/orderadd.jsp?rvnRoom=3&rvnTime=5&rvnId=1&rvnPrice=50&year=2018&month=12&day=30 HTTP/1.1" 200 6419
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:37 +0800] "GET /reservation/Information.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:37 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:37 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:37 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:52 +0800] "POST /reservation/OrderAdd HTTP/1.1" 200 4633
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:52 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:52 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:52 +0800] "POST /reservation/OrderUserGetAll HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:19:52 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:20:04 +0800] "GET /reservation/reservation.jsp?rnvid=1 HTTP/1.1" 200 6749
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:20:04 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:20:04 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:20:04 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:20:04 +0800] "POST /reservation/OrderAvailable HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:21:55 +0800] "GET /reservation/reservation.jsp?rnvid=1 HTTP/1.1" 200 6777
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:21:56 +0800] "GET /reservation/settled.css HTTP/1.1" 200 2255
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:21:56 +0800] "GET /reservation/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:21:56 +0800] "GET /reservation/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:21:56 +0800] "GET /reservation/reservation.css HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:21:56 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:21:56 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:21:56 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:21:56 +0800] "POST /reservation/OrderAvailable HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:21:56 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:22:57 +0800] "GET /reservation/myorder.jsp HTTP/1.1" 200 4633
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:22:57 +0800] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:22:57 +0800] "GET /fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:22:57 +0800] "POST /reservation/OrderUserGetAll HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [29/Dec/2018:14:22:57 +0800] "GET /fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1107
